Name,Link,Summary,Type
深度学习实践:计算机视觉,,https://www.notion.so/61f08ee53be24f1295a562065ab3763b,Books
Learning Representations via Graph-structured Networks,https://xiaolonw.github.io/graphnnv2/,,Workshop
CVPR 2020华人一作包揽最佳论文、最佳学生论文,https://zhuanlan.zhihu.com/p/148875581,,Paper
Implicit Geometric Regularization for Learning Shapes,https://arxiv.org/pdf/2002.10099.pdf,https://www.notion.so/Implicit-Geometric-Regularization-for-Learning-Shapes-d9c3cd0128754eaba82142ad350a1102,Paper
"Implicit Neural Representations with Periodic
Activation Functions",https://arxiv.org/pdf/2006.09661.pdf,https://www.notion.so/Implicit-Neural-Representations-with-Periodic-Activation-Functions-2cc26dd7df784be9bbd03f7eb23a1c9f,Paper
"LatentFusion: End-to-End Differentiable Reconstruction and Rendering
for Unseen Object Pose Estimation",https://arxiv.org/pdf/1912.00416.pdf,https://www.notion.so/LatentFusion-End-to-End-Differentiable-Reconstruction-and-Rendering-for-Unseen-Object-Pose-Estimati-64bb3162837b4e98beb159a5d4c1d3c8,Paper
"A Review on Object Pose Recovery: from 3D
Bounding Box Detectors to Full 6D Pose Estimators",https://arxiv.org/pdf/2001.10609.pdf,https://www.notion.so/A-Review-on-Object-Pose-Recovery-from-3D-Bounding-Box-Detectors-to-Full-6D-Pose-Estimators-872fbb4454274ae6969f1aff4cf7ded2,Paper
KFNet: Learning Temporal Camera Relocalization using Kalman Filtering,https://arxiv.org/pdf/2003.10629.pdf,https://www.notion.so/KFNet-Learning-Temporal-Camera-Relocalization-using-Kalman-Filtering-162a949bc13e4facb812b72304c8955b,Paper
Deep Global Registration,https://node1.chrischoy.org/data/publications/dgr/DGR.pdf,https://www.notion.so/Deep-Global-Registration-bbab47a2caae4cc19ba107cc39c1c221,Paper
SAL: Sign Agnostic Learning of Shapes from Raw Data,https://arxiv.org/abs/1911.10414,https://www.notion.so/SAL-Sign-Agnostic-Learning-of-Shapes-from-Raw-Data-c21baa03808f4f5e8315cb7e11fd5216,Paper
SDFDiff: Differentiable Rendering of Signed Distance Fields for 3D Shape Optimization,https://yuejiang-nj.github.io/papers/CVPR2020_SDFDiff/project_page.html,https://www.notion.so/SDFDiff-Differentiable-Rendering-of-Signed-Distance-Fields-for-3D-Shape-Optimization-a8f0a65be0584b32adbb3cfa9190fd27,Paper
FroDO: From Detections to 3D Objects,https://arxiv.org/abs/2005.05125,https://www.notion.so/FroDO-From-Detections-to-3D-Objects-cc775c7ae5b24ac4a14462751d735df4,Paper
SuperGlue:Learning Feature Matching with Graph Neural Networks,https://arxiv.org/abs/1911.11763,,Paper
目标检测的过去、现在与将来,https://www.bilibili.com/video/BV1154y1v7BZ,,Workshop
